YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2009/09,False Alarm,Manhattan,373,04:20
2009/09,False Alarm,Bronx,563,04:20
2009/09,False Alarm,Staten Island,217,04:09
2009/09,False Alarm,Brooklyn,457,03:32
2009/09,False Alarm,Queens,577,04:11
2009/09,Medical Emergencies,Citywide,"17,073",04:15
2009/09,Medical Emergencies,Manhattan,"4,592",04:16
2009/09,Medical Emergencies,Bronx,"3,230",04:27
2009/09,Medical Emergencies,Staten Island,840,04:21
2009/09,Medical Emergencies,Brooklyn,"4,927",03:54
2009/09,Medical Emergencies,Queens,"3,484",04:34
2009/09,Medical False Alarm,Citywide,405,04:14
2009/09,Medical False Alarm,Manhattan,94,04:26
2009/09,Medical False Alarm,Bronx,92,03:57
2009/09,Medical False Alarm,Staten Island,13,05:12
2009/09,Medical False Alarm,Brooklyn,96,03:41
2009/09,Medical False Alarm,Queens,110,04:39
2009/09,NonMedical Emergencies,Citywide,"14,027",04:46
2009/09,NonMedical Emergencies,Manhattan,"4,018",05:00
2009/09,NonMedical Emergencies,Bronx,"2,840",04:55
2009/09,NonMedical Emergencies,Staten Island,761,04:56
2009/09,NonMedical Emergencies,Brooklyn,"3,880",04:11
2009/09,NonMedical Emergencies,Queens,"2,528",05:06
2009/09,NonStructural Fires,Citywide,"1,294",04:21
2009/09,NonStructural Fires,Manhattan,277,04:23
2009/09,NonStructural Fires,Bronx,237,04:40
2009/09,NonStructural Fires,Staten Island,64,04:16
2009/09,NonStructural Fires,Brooklyn,362,03:51
2009/09,NonStructural Fires,Queens,354,04:39
2009/09,Structural Fires,Citywide,"2,096",03:58
2009/09,Structural Fires,Manhattan,468,04:13
2009/09,Structural Fires,Bronx,449,04:00
2009/09,Structural Fires,Staten Island,103,04:16
2009/09,Structural Fires,Brooklyn,676,03:34
2009/09,Structural Fires,Queens,400,04:13
2009/10,All Fire/Emergency Incidents,Citywide,"40,974",04:30
2009/10,All Fire/Emergency Incidents,Manhattan,"10,563",04:34
2009/10,All Fire/Emergency Incidents,Bronx,"8,253",04:42
2009/10,All Fire/Emergency Incidents,Staten Island,"2,247",04:46
2009/10,All Fire/Emergency Incidents,Brooklyn,"11,521",04:01
2009/10,All Fire/Emergency Incidents,Queens,"8,390",04:51
2009/10,False Alarm,Citywide,"2,135",04:11
2009/10,False Alarm,Manhattan,375,04:17
2009/10,False Alarm,Bronx,544,04:22
2009/10,False Alarm,Staten Island,203,04:08
2009/10,False Alarm,Brooklyn,462,03:43
2009/10,False Alarm,Queens,551,04:21
2009/10,Medical Emergencies,Citywide,"17,377",04:17
2009/10,Medical Emergencies,Manhattan,"4,584",04:20
2009/10,Medical Emergencies,Bronx,"3,253",04:23
2009/10,Medical Emergencies,Staten Island,904,04:30
2009/10,Medical Emergencies,Brooklyn,"5,006",03:54
2009/10,Medical Emergencies,Queens,"3,630",04:37
2009/10,Medical False Alarm,Citywide,399,04:19
2009/10,Medical False Alarm,Manhattan,101,04:06
2009/10,Medical False Alarm,Bronx,92,04:34
2009/10,Medical False Alarm,Staten Island,12,04:31
2009/10,Medical False Alarm,Brooklyn,100,03:45
2009/10,Medical False Alarm,Queens,94,04:55
2009/10,NonMedical Emergencies,Citywide,"17,663",04:48
2009/10,NonMedical Emergencies,Manhattan,"4,721",04:49
2009/10,NonMedical Emergencies,Bronx,"3,645",05:05
2009/10,NonMedical Emergencies,Staten Island,989,05:11
2009/10,NonMedical Emergencies,Brooklyn,"4,893",04:14
2009/10,NonMedical Emergencies,Queens,"3,415",05:13
2009/10,NonStructural Fires,Citywide,"1,110",04:16
2009/10,NonStructural Fires,Manhattan,281,04:17
2009/10,NonStructural Fires,Bronx,191,04:26
2009/10,NonStructural Fires,Staten Island,47,04:27
2009/10,NonStructural Fires,Brooklyn,311,03:47
2009/10,NonStructural Fires,Queens,280,04:40
2009/10,Structural Fires,Citywide,"2,290",03:56
2009/10,Structural Fires,Manhattan,501,04:08
2009/10,Structural Fires,Bronx,528,04:02
2009/10,Structural Fires,Staten Island,92,04:14
2009/10,Structural Fires,Brooklyn,749,03:32
2009/10,Structural Fires,Queens,420,04:15
2009/11,All Fire/Emergency Incidents,Citywide,"38,197",04:29
2009/11,All Fire/Emergency Incidents,Manhattan,"9,820",04:37
2009/11,All Fire/Emergency Incidents,Bronx,"7,701",04:41
2009/11,All Fire/Emergency Incidents,Staten Island,"2,136",04:40
2009/11,All Fire/Emergency Incidents,Brooklyn,"10,861",04:01
2009/11,All Fire/Emergency Incidents,Queens,"7,679",04:45
2009/11,False Alarm,Citywide,"1,977",04:14
2009/11,False Alarm,Manhattan,353,04:25
2009/11,False Alarm,Bronx,508,04:28
2009/11,False Alarm,Staten Island,223,04:20
2009/11,False Alarm,Brooklyn,416,03:37
2009/11,False Alarm,Queens,477,04:21
2009/11,Medical Emergencies,Citywide,"16,751",04:18
2009/11,Medical Emergencies,Manhattan,"4,284",04:25
2009/11,Medical Emergencies,Bronx,"3,122",04:28
2009/11,Medical Emergencies,Staten Island,909,04:26
2009/11,Medical Emergencies,Brooklyn,"4,832",03:56
2009/11,Medical Emergencies,Queens,"3,604",04:32
2009/11,Medical False Alarm,Citywide,328,04:08
2009/11,Medical False Alarm,Manhattan,90,04:16
2009/11,Medical False Alarm,Bronx,60,04:02
2009/11,Medical False Alarm,Staten Island,17,03:30
2009/11,Medical False Alarm,Brooklyn,69,03:44
2009/11,Medical False Alarm,Queens,92,04:33
2009/11,NonMedical Emergencies,Citywide,"15,555",04:46
2009/11,NonMedical Emergencies,Manhattan,"4,250",04:51
2009/11,NonMedical Emergencies,Bronx,"3,298",05:00
2009/11,NonMedical Emergencies,Staten Island,790,05:02
2009/11,NonMedical Emergencies,Brooklyn,"4,443",04:13
2009/11,NonMedical Emergencies,Queens,"2,774",05:07
2009/11,NonStructural Fires,Citywide,"1,156",04:22
2009/11,NonStructural Fires,Manhattan,260,04:13
2009/11,NonStructural Fires,Bronx,167,04:49
2009/11,NonStructural Fires,Staten Island,100,04:38
2009/11,NonStructural Fires,Brooklyn,342,03:50
2009/11,NonStructural Fires,Queens,287,04:50
2009/11,Structural Fires,Citywide,"2,430",03:58
2009/11,Structural Fires,Manhattan,583,04:12
2009/11,Structural Fires,Bronx,546,04:00
2009/11,Structural Fires,Staten Island,97,04:32
2009/11,Structural Fires,Brooklyn,759,03:31
2009/11,Structural Fires,Queens,445,04:18
2009/12,All Fire/Emergency Incidents,Citywide,"42,260",04:37
2009/12,All Fire/Emergency Incidents,Manhattan,"10,794",04:44
2009/12,All Fire/Emergency Incidents,Bronx,"8,433",04:48
2009/12,All Fire/Emergency Incidents,Staten Island,"2,229",04:48
2009/12,All Fire/Emergency Incidents,Brooklyn,"11,953",04:09
2009/12,All Fire/Emergency Incidents,Queens,"8,851",04:56
2009/12,False Alarm,Citywide,"1,947",04:22
2009/12,False Alarm,Manhattan,400,04:36
2009/12,False Alarm,Bronx,425,04:38
2009/12,False Alarm,Staten Island,119,04:32
2009/12,False Alarm,Brooklyn,439,03:54
2009/12,False Alarm,Queens,564,04:20
2009/12,Medical Emergencies,Citywide,"16,706",04:26
2009/12,Medical Emergencies,Manhattan,"4,257",04:29
2009/12,Medical Emergencies,Bronx,"3,210",04:34
2009/12,Medical Emergencies,Staten Island,900,04:38
2009/12,Medical Emergencies,Brooklyn,"4,647",04:02
2009/12,Medical Emergencies,Queens,"3,692",04:42
2009/12,Medical False Alarm,Citywide,370,04:32
2009/12,Medical False Alarm,Manhattan,104,04:29
2009/12,Medical False Alarm,Bronx,51,04:55
2009/12,Medical False Alarm,Staten Island,14,05:38
2009/12,Medical False Alarm,Brooklyn,103,04:06
2009/12,Medical False Alarm,Queens,98,04:45
2009/12,NonMedical Emergencies,Citywide,"19,205",04:53
2009/12,NonMedical Emergencies,Manhattan,"5,017",05:00
2009/12,NonMedical Emergencies,Bronx,"3,937",05:03
2009/12,NonMedical Emergencies,Staten Island,"1,018",05:00
2009/12,NonMedical Emergencies,Brooklyn,"5,533",04:20
2009/12,NonMedical Emergencies,Queens,"3,700",05:19
2009/12,NonStructural Fires,Citywide,"1,358",04:16
2009/12,NonStructural Fires,Manhattan,366,04:13
2009/12,NonStructural Fires,Bronx,214,04:38
2009/12,NonStructural Fires,Staten Island,48,04:39
2009/12,NonStructural Fires,Brooklyn,415,03:47
2009/12,NonStructural Fires,Queens,315,04:38
2009/12,Structural Fires,Citywide,"2,674",04:04
2009/12,Structural Fires,Manhattan,650,04:14
2009/12,Structural Fires,Bronx,596,04:12
2009/12,Structural Fires,Staten Island,130,04:30
2009/12,Structural Fires,Brooklyn,816,03:38
2009/12,Structural Fires,Queens,482,04:19
2010/01,All Fire/Emergency Incidents,Citywide,"40,548",04:31
2010/01,All Fire/Emergency Incidents,Manhattan,"10,314",04:37
2010/01,All Fire/Emergency Incidents,Bronx,"8,411",04:43
2010/01,All Fire/Emergency Incidents,Staten Island,"1,993",04:40
2010/01,All Fire/Emergency Incidents,Brooklyn,"11,539",04:02
2010/01,All Fire/Emergency Incidents,Queens,"8,291",04:49
2010/01,False Alarm,Citywide,"1,725",04:19
2010/01,False Alarm,Manhattan,313,04:27
2010/01,False Alarm,Bronx,410,04:37
2010/01,False Alarm,Staten Island,126,04:08
2010/01,False Alarm,Brooklyn,366,03:51
2010/01,False Alarm,Queens,510,04:21
2010/01,Medical Emergencies,Citywide,"16,581",04:20
2010/01,Medical Emergencies,Manhattan,"4,097",04:23
2010/01,Medical Emergencies,Bronx,"3,298",04:29
2010/01,Medical Emergencies,Staten Island,850,04:30
2010/01,Medical Emergencies,Brooklyn,"4,767",03:57
2010/01,Medical Emergencies,Queens,"3,569",04:36
2010/01,Medical False Alarm,Citywide,302,04:28
2010/01,Medical False Alarm,Manhattan,77,04:27
2010/01,Medical False Alarm,Bronx,66,04:54
2010/01,Medical False Alarm,Staten Island,7,04:08
2010/01,Medical False Alarm,Brooklyn,79,03:55
2010/01,Medical False Alarm,Queens,73,04:47
2010/01,NonMedical Emergencies,Citywide,"18,234",04:46
2010/01,NonMedical Emergencies,Manhattan,"4,874",04:51
2010/01,NonMedical Emergencies,Bronx,"3,869",04:59
2010/01,NonMedical Emergencies,Staten Island,843,04:57
2010/01,NonMedical Emergencies,Brooklyn,"5,176",04:14
2010/01,NonMedical Emergencies,Queens,"3,472",05:09
2010/01,NonStructural Fires,Citywide,"1,239",04:11
2010/01,NonStructural Fires,Manhattan,329,04:13
2010/01,NonStructural Fires,Bronx,214,04:36
2010/01,NonStructural Fires,Staten Island,76,04:20
2010/01,NonStructural Fires,Brooklyn,378,03:43
2010/01,NonStructural Fires,Queens,242,04:24
2010/01,Structural Fires,Citywide,"2,467",03:55
2010/01,Structural Fires,Manhattan,624,04:11
2010/01,Structural Fires,Bronx,554,03:59
2010/01,Structural Fires,Staten Island,91,04:16
2010/01,Structural Fires,Brooklyn,773,03:23
2010/01,Structural Fires,Queens,425,04:20
2010/02,All Fire/Emergency Incidents,Citywide,"37,065",04:41
2010/02,All Fire/Emergency Incidents,Manhattan,"9,189",04:40
2010/02,All Fire/Emergency Incidents,Bronx,"7,038",04:47
2010/02,All Fire/Emergency Incidents,Staten Island,"2,456",05:34
2010/02,All Fire/Emergency Incidents,Brooklyn,"10,863",04:15
2010/02,All Fire/Emergency Incidents,Queens,"7,519",04:58
2010/02,False Alarm,Citywide,"1,548",04:35
2010/02,False Alarm,Manhattan,268,04:46
2010/02,False Alarm,Bronx,304,04:47
2010/02,False Alarm,Staten Island,137,04:35
2010/02,False Alarm,Brooklyn,390,04:04
2010/02,False Alarm,Queens,449,04:48
2010/02,Medical Emergencies,Citywide,"14,517",04:25
2010/02,Medical Emergencies,Manhattan,"3,511",04:27
2010/02,Medical Emergencies,Bronx,"2,772",04:25
2010/02,Medical Emergencies,Staten Island,759,04:50
2010/02,Medical Emergencies,Brooklyn,"4,311",04:05
2010/02,Medical Emergencies,Queens,"3,164",04:44
2010/02,Medical False Alarm,Citywide,278,04:28
2010/02,Medical False Alarm,Manhattan,58,04:31
2010/02,Medical False Alarm,Bronx,57,04:48
2010/02,Medical False Alarm,Staten Island,12,05:05
2010/02,Medical False Alarm,Brooklyn,80,03:52
2010/02,Medical False Alarm,Queens,71,04:45
2010/02,NonMedical Emergencies,Citywide,"16,672",05:02
2010/02,NonMedical Emergencies,Manhattan,"4,212",04:57
2010/02,NonMedical Emergencies,Bronx,"3,146",05:10
2010/02,NonMedical Emergencies,Staten Island,"1,437",06:06
2010/02,NonMedical Emergencies,Brooklyn,"4,824",04:32
2010/02,NonMedical Emergencies,Queens,"3,053",05:19
2010/02,NonStructural Fires,Citywide,"1,848",04:14
2010/02,NonStructural Fires,Manhattan,630,04:12
2010/02,NonStructural Fires,Bronx,207,04:32
2010/02,NonStructural Fires,Staten Island,35,04:27
2010/02,NonStructural Fires,Brooklyn,584,03:55
2010/02,NonStructural Fires,Queens,392,04:34
2010/02,Structural Fires,Citywide,"2,202",04:01
2010/02,Structural Fires,Manhattan,510,04:07
2010/02,Structural Fires,Bronx,552,04:05
2010/02,Structural Fires,Staten Island,76,04:26
2010/02,Structural Fires,Brooklyn,674,03:35
2010/02,Structural Fires,Queens,390,04:30
2010/03,All Fire/Emergency Incidents,Citywide,"44,564",04:44
2010/03,All Fire/Emergency Incidents,Manhattan,"10,558",04:43
2010/03,All Fire/Emergency Incidents,Bronx,"8,781",04:55
2010/03,All Fire/Emergency Incidents,Staten Island,"3,555",05:38
2010/03,All Fire/Emergency Incidents,Brooklyn,"12,672",04:12
2010/03,All Fire/Emergency Incidents,Queens,"8,998",05:01
2010/03,False Alarm,Citywide,"2,157",04:33
2010/03,False Alarm,Manhattan,356,04:33
2010/03,False Alarm,Bronx,581,04:41
2010/03,False Alarm,Staten Island,211,04:54
2010/03,False Alarm,Brooklyn,432,03:59
2010/03,False Alarm,Queens,577,04:41
2010/03,Medical Emergencies,Citywide,"16,929",04:17
2010/03,Medical Emergencies,Manhattan,"4,441",04:22
2010/03,Medical Emergencies,Bronx,"3,221",04:24
2010/03,Medical Emergencies,Staten Island,813,04:41
2010/03,Medical Emergencies,Brooklyn,"4,932",03:55
2010/03,Medical Emergencies,Queens,"3,522",04:33
2010/03,Medical False Alarm,Citywide,368,04:18
2010/03,Medical False Alarm,Manhattan,75,04:10
2010/03,Medical False Alarm,Bronx,68,04:30
2010/03,Medical False Alarm,Staten Island,8,04:13
2010/03,Medical False Alarm,Brooklyn,127,03:59
2010/03,Medical False Alarm,Queens,90,04:40
2010/03,NonMedical Emergencies,Citywide,"21,125",05:10
2010/03,NonMedical Emergencies,Manhattan,"4,826",05:03
2010/03,NonMedical Emergencies,Bronx,"4,157",05:24
2010/03,NonMedical Emergencies,Staten Island,"2,253",06:11
2010/03,NonMedical Emergencies,Brooklyn,"5,825",04:31
2010/03,NonMedical Emergencies,Queens,"4,064",05:31
2010/03,NonStructural Fires,Citywide,"1,660",04:24
2010/03,NonStructural Fires,Manhattan,348,04:14
2010/03,NonStructural Fires,Bronx,243,04:30
2010/03,NonStructural Fires,Staten Island,139,04:49
2010/03,NonStructural Fires,Brooklyn,572,04:08
2010/03,NonStructural Fires,Queens,358,04:43
2010/03,Structural Fires,Citywide,"2,325",04:02
2010/03,Structural Fires,Manhattan,512,04:14
2010/03,Structural Fires,Bronx,511,04:09
2010/03,Structural Fires,Staten Island,131,04:24
2010/03,Structural Fires,Brooklyn,784,03:36
2010/03,Structural Fires,Queens,387,04:24
2010/04,All Fire/Emergency Incidents,Citywide,"38,465",04:28
2010/04,All Fire/Emergency Incidents,Manhattan,"10,083",04:37
2010/04,All Fire/Emergency Incidents,Bronx,"7,711",04:37
2010/04,All Fire/Emergency Incidents,Staten Island,"2,325",04:45
2010/04,All Fire/Emergency Incidents,Brooklyn,"10,702",04:01
2010/04,All Fire/Emergency Incidents,Queens,"7,644",04:40
2010/04,False Alarm,Citywide,"2,089",04:15
2010/04,False Alarm,Manhattan,370,04:26
2010/04,False Alarm,Bronx,644,04:26
2010/04,False Alarm,Staten Island,178,04:15
2010/04,False Alarm,Brooklyn,402,03:43
2010/04,False Alarm,Queens,495,04:17
2010/04,Medical Emergencies,Citywide,"17,252",04:13
2010/04,Medical Emergencies,Manhattan,"4,525",04:20
2010/04,Medical Emergencies,Bronx,"3,145",04:20
2010/04,Medical Emergencies,Staten Island,917,04:30
2010/04,Medical Emergencies,Brooklyn,"4,966",03:52
2010/04,Medical Emergencies,Queens,"3,699",04:27
2010/04,Medical False Alarm,Citywide,383,04:11
2010/04,Medical False Alarm,Manhattan,91,04:17
2010/04,Medical False Alarm,Bronx,75,04:12
2010/04,Medical False Alarm,Staten Island,14,04:33
2010/04,Medical False Alarm,Brooklyn,122,03:53
2010/04,Medical False Alarm,Queens,81,04:25
2010/04,NonMedical Emergencies,Citywide,"15,101",04:48
2010/04,NonMedical Emergencies,Manhattan,"4,188",04:55
2010/04,NonMedical Emergencies,Bronx,"3,112",04:59
2010/04,NonMedical Emergencies,Staten Island,995,05:00
2010/04,NonMedical Emergencies,Brooklyn,"4,131",04:19
2010/04,NonMedical Emergencies,Queens,"2,675",05:03
2010/04,NonStructural Fires,Citywide,"1,467",04:22
2010/04,NonStructural Fires,Manhattan,378,04:37
2010/04,NonStructural Fires,Bronx,265,04:26
2010/04,NonStructural Fires,Staten Island,119,04:54
2010/04,NonStructural Fires,Brooklyn,377,03:46
2010/04,NonStructural Fires,Queens,328,04:33
2010/04,Structural Fires,Citywide,"2,173",03:59
2010/04,Structural Fires,Manhattan,531,04:06
2010/04,Structural Fires,Bronx,470,04:04
2010/04,Structural Fires,Staten Island,102,04:50
2010/04,Structural Fires,Brooklyn,704,03:33
2010/04,Structural Fires,Queens,366,04:20
2010/05,All Fire/Emergency Incidents,Citywide,"43,848",04:31
2010/05,All Fire/Emergency Incidents,Manhattan,"11,363",04:34
2010/05,All Fire/Emergency Incidents,Bronx,"8,748",04:43
2010/05,All Fire/Emergency Incidents,Staten Island,"2,410",04:49
2010/05,All Fire/Emergency Incidents,Brooklyn,"12,055",04:04
2010/05,All Fire/Emergency Incidents,Queens,"9,272",04:48
2010/05,False Alarm,Citywide,"2,614",04:19
2010/05,False Alarm,Manhattan,424,04:20
2010/05,False Alarm,Bronx,740,04:32
2010/05,False Alarm,Staten Island,223,04:19
2010/05,False Alarm,Brooklyn,475,03:53
2010/05,False Alarm,Queens,752,04:23
2010/05,Medical Emergencies,Citywide,"19,278",04:15
2010/05,Medical Emergencies,Manhattan,"5,086",04:19
2010/05,Medical Emergencies,Bronx,"3,617",04:24
2010/05,Medical Emergencies,Staten Island,916,04:42
2010/05,Medical Emergencies,Brooklyn,"5,549",03:54
2010/05,Medical Emergencies,Queens,"4,110",04:28
2010/05,Medical False Alarm,Citywide,431,04:07
2010/05,Medical False Alarm,Manhattan,104,04:03
2010/05,Medical False Alarm,Bronx,107,04:09
2010/05,Medical False Alarm,Staten Island,16,04:08
2010/05,Medical False Alarm,Brooklyn,128,03:57
2010/05,Medical False Alarm,Queens,76,04:23
2010/05,NonMedical Emergencies,Citywide,"17,866",04:53
2010/05,NonMedical Emergencies,Manhattan,"4,847",04:52
2010/05,NonMedical Emergencies,Bronx,"3,580",05:07
2010/05,NonMedical Emergencies,Staten Island,"1,074",05:04
2010/05,NonMedical Emergencies,Brooklyn,"4,711",04:22
2010/05,NonMedical Emergencies,Queens,"3,654",05:16
2010/05,NonStructural Fires,Citywide,"1,538",04:18
2010/05,NonStructural Fires,Manhattan,373,04:12
2010/05,NonStructural Fires,Bronx,267,04:40
2010/05,NonStructural Fires,Staten Island,80,04:33
2010/05,NonStructural Fires,Brooklyn,489,03:49
2010/05,NonStructural Fires,Queens,329,04:46
2010/05,Structural Fires,Citywide,"2,121",03:59
2010/05,Structural Fires,Manhattan,529,04:07
2010/05,Structural Fires,Bronx,437,04:07
2010/05,Structural Fires,Staten Island,101,04:34
2010/05,Structural Fires,Brooklyn,703,03:33
2010/05,Structural Fires,Queens,351,04:21
2010/06,All Fire/Emergency Incidents,Citywide,"43,778",04:34
2010/06,All Fire/Emergency Incidents,Manhattan,"11,634",04:39
2010/06,All Fire/Emergency Incidents,Bronx,"8,949",04:49
2010/06,All Fire/Emergency Incidents,Staten Island,"2,330",04:44
2010/06,All Fire/Emergency Incidents,Brooklyn,"11,839",04:07
2010/06,All Fire/Emergency Incidents,Queens,"9,026",04:49
2010/06,False Alarm,Citywide,"2,695",04:21
2010/06,False Alarm,Manhattan,497,04:25
2010/06,False Alarm,Bronx,780,04:38
2010/06,False Alarm,Staten Island,202,04:09
2010/06,False Alarm,Brooklyn,434,03:52
2010/06,False Alarm,Queens,782,04:21
2010/06,Medical Emergencies,Citywide,"19,256",04:16
2010/06,Medical Emergencies,Manhattan,"5,342",04:19
2010/06,Medical Emergencies,Bronx,"3,519",04:24
2010/06,Medical Emergencies,Staten Island,943,04:30
2010/06,Medical Emergencies,Brooklyn,"5,472",03:54
2010/06,Medical Emergencies,Queens,"3,980",04:33
2010/06,Medical False Alarm,Citywide,460,04:14
2010/06,Medical False Alarm,Manhattan,127,04:11
2010/06,Medical False Alarm,Bronx,83,04:25
2010/06,Medical False Alarm,Staten Island,19,04:22
2010/06,Medical False Alarm,Brooklyn,124,03:55
2010/06,Medical False Alarm,Queens,107,04:32
2010/06,NonMedical Emergencies,Citywide,"17,689",04:59
2010/06,NonMedical Emergencies,Manhattan,"4,820",05:01
2010/06,NonMedical Emergencies,Bronx,"3,853",05:15
2010/06,NonMedical Emergencies,Staten Island,967,05:02
2010/06,NonMedical Emergencies,Brooklyn,"4,650",04:28
2010/06,NonMedical Emergencies,Queens,"3,399",05:19
2010/06,NonStructural Fires,Citywide,"1,741",04:19
2010/06,NonStructural Fires,Manhattan,426,04:18
2010/06,NonStructural Fires,Bronx,312,04:30
2010/06,NonStructural Fires,Staten Island,106,04:51
2010/06,NonStructural Fires,Brooklyn,496,03:56
2010/06,NonStructural Fires,Queens,401,04:30
2010/06,Structural Fires,Citywide,"1,937",03:58
2010/06,Structural Fires,Manhattan,422,04:01
2010/06,Structural Fires,Bronx,402,04:06
2010/06,Structural Fires,Staten Island,93,04:50
2010/06,Structural Fires,Brooklyn,663,03:32
2010/06,Structural Fires,Queens,357,04:23
2010/07,All Fire/Emergency Incidents,Citywide,"47,698",04:40
2010/07,All Fire/Emergency Incidents,Manhattan,"12,273",04:41
2010/07,All Fire/Emergency Incidents,Bronx,"9,960",04:57
2010/07,All Fire/Emergency Incidents,Staten Island,"2,410",04:43
2010/07,All Fire/Emergency Incidents,Brooklyn,"13,355",04:13
